"NamespacePrefix","NamespaceFile","VersionURI","VersionReleaseNumber","NamespaceStyle","NamespaceIsExternallyGenerated","IsConformant","Definition"
"fips_6-4","fips_6-4","http://niem.gov/niem/fips_6-4/2.0","2.0","E",0,1,"Counties and equivalent entities of the U.S., its possessions, and associated areas from the Federal Information Processing Standards (FIPS) 6-4."
"fs","familyServices","http://niem.gov/niem/domains/familyServices/2.1","2.1","D",0,1,"Family Services"
"gco","",,"2.1","N",1,0,"This file was generated from ISO TC/211 UML class diagrams == 01-26-2005 12:00:05 ======"
"geo","geospatial","http://niem.gov/niem/geospatial/2.1","2.1","D",0,1,"Defines NIEM adapter types for external geospatial components defined by OGC and ISO.  It references local copies of unmodified schemas from external standards in local directory tree fragments that mirror the directory structures of the cannonical schema sources on the world wide web, and a profile of the OGC Open Location Services (XLS) schema that is based on GML version 3.2.1."
"gmd","",,"2.1","N",1,0,"This file was generated from ISO TC/211 UML class diagrams == 01-26-2005 12:40:03 ======"
"gml","",,"2.1","N",1,0,"Geography Markup Language (GML) version 3.2.1 schemas.  See http://www.opengeospatial.org OGC document 07-036 for documentation: ""The Geography Markup Language (GML) was originally developed within the Open Geospatial Consortium, Inc. (OGC). ISO 19136 was prepared by ISO/TC 211 jointly with the OGC.""  See http://schemas.opengis.net/gml/ for schemas."
"gmx","",,"2.1","N",1,0,"This file was generated from ISO TC/211 UML class diagrams == 04-27-2005 17:16:11 ====== Handcrafted"
"gsr","",,"2.1","N",1,0,"This file was generated from ISO TC/211 UML class diagrams == 01-26-2005 12:24:48 ======"
"gss","",,"2.1","N",1,0,"This file was generated from ISO TC/211 UML class diagrams == 01-26-2005 12:14:37 ====== The geometry packages (Figure 4) contain the various classes for coordinate geometry. All of these classes through the root class GM_Object inherit an optional association to a coordinate reference system. All direct positions exposed through the interfaces defined in this standard shall be in the coordinate reference system of the geometric object accessed. All elements of a geometric complex, composite, or aggregate shall be associated to the same coordinate reference system. When instances of GM_Object are aggregated in another GM_Object (such as a GM_Aggregate, or GM_Complex) which already has a coordinate reference system specified, then these elements are assumed to be in that same coordinate reference system unless otherwise specified.  - The geometry package has several internal packages that separate primitive geometric objects, aggregates and complexes, which have a more elaborate internal structure than simple aggregates. Figure 4 shows the dependencies between the geometry packages as well as a list of classes for each package - Figure 5 shows the basic classes defined in the geometry packages. Any object that inherits the semantics of the GM_Object acts as a set of direct positions. Its behavior will be determined by which direct positions it contains. Objects under GM_Primitive will be open, that is, they will not contain their boundary points; curves will not contain their end points, surfaces will not contain their boundary curves, and solids will not contain their bounding surfaces. Objects under GM_Complex will be closed, that is, they will contain their boundary points. This leads to some apparent ambiguity. A representation of a line as a primitive must reference its end points, but will not contain these points as a set of direct positions. A representation of a line as a complex will also reference its end points, and will contain these points as a set of direct positions. This means that identical digital representations will have slightly different semantics depending on whether they are accessed as primitives or complexes.  - This difference of semantics is most striking in the GM_CompositeCurve. Composite curves are used to represent features whose geometry could also be represented as curve primitives. From a cartographic point of view, these two representations are not different. From a topological point of view, they are different. This distinction appears in the inheritance diagram (Figure 5) as an inheritance relationship between GM_CompositeCurve and GM_OrientableCurve. The primary semantics of a GM_CompositeCurve (see 6.6.5) is as a closed GM_Object, but it may also act as an open GM_Object under GM_Primitive operations (see 6.3.10). Interface protocols depending upon the topological details of this object will have to be distinguished as to whether they have been inherited from GM_Primitive or GM_Complex, where the distinction first occurs. Even though these protocols have been inherited from the same operations defined at GM_Object, they will act differently depending upon the branch of the inheritance tree from which they have inherited semantics. Creators of implementation profiles may take this into account and use a proxy mechanism for realization relationships that cause semantic dissonance. Such a procedure will be necessary in object-oriented programming and databases in systems that disallow multiple inheritance or make limiting assumptions about method binding."
"gts","",,"2.1","N",1,0,"This file was generated from ISO TC/211 UML class diagrams == 01-26-2005 12:18:09 ======"
"have",,,"2.1","N",1,0,"Hospital Availability Exchange (HAVE)"
"have-codes","have-codes","http://niem.gov/niem/have-codes/2.1","2.1","E",0,1,"EDXL Hospital AVailability Exchange (HAVE) code sets"
"hazmat","hazmat","http://niem.gov/niem/hazmat/2.1","2.1","E",0,1,"Pipeline and Hazardous Materials Safety Administration - Office of Hazardous Materials Safety."
"i","appinfo","http://niem.gov/niem/appinfo/2.0","2.0","S",1,1,"Elements for use within xsd:appinfo to indicate information supporting the data model underlying NIEM."
"im","immigration","http://niem.gov/niem/domains/immigration/2.1","2.1","D",0,1,"Immigration"
"intel","intelligence","http://niem.gov/niem/domains/intelligence/2.1","2.1","D",0,1,"Intelligence"
"ip","infrastructureProtection","http://niem.gov/niem/domains/infrastructureProtection/2.1","2.1","D",0,1,"Infrastructure Protection"
"iso_3166","iso_3166","http://niem.gov/niem/iso_3166/2.0","2.0","E",0,1,"Codes for the representation of names of countries and their subdivisions from the International Organization for Standardization (ISO) 3166-1:1997."
"iso_4217","iso_4217","http://niem.gov/niem/iso_4217/2.0","2.0","E",0,1,"Codes for the representation of currencies and funds from the International Organization for Standardization (ISO) 4217:2001."
"iso_639-3","iso_639-3","http://niem.gov/niem/iso_639-3/2.0","2.0","E",0,1,"Codes for the representation of names of languages - Part 3: Alpha-3 code for comprehensive coverage of languages."
"it","internationalTrade","http://niem.gov/niem/domains/internationalTrade/2.1","2.1","D",0,1,"International Trade"
"itis","itis","http://niem.gov/niem/itis/2.1","2.1","E",0,1,"Integrated Transportation Information System"
"j","jxdm","http://niem.gov/niem/domains/jxdm/4.1","4.1","D",0,1,"Justice"
"lasd","lasd","http://niem.gov/niem/lasd/2.0","2.0","E",0,1,"Los Angeles County Sheriff&apos;s Department"
"m","maritime","http://niem.gov/niem/domains/maritime/2.1","2.1","D",0,1,"Maritime"
"mmucc_2","mmucc_2","http://niem.gov/niem/mmucc_2/2.1","2.1","E",0,1,"Model Minimum Uniform Crash Criteria"
"mn_off","mn_offense","http://niem.gov/niem/mn_offense/2.0","2.0","E",0,1,"Statute and offense codes from the state of Minnesota."
"nc","niem-core","http://niem.gov/niem/niem-core/2.0","2.0","C",0,1,"NIEM Core includes both Universal (U) and Common (C) components.  The identities for U and C components in Core are maintained with metadata."
"nga","nga","http://niem.gov/niem/nga/2.0","2.0","E",0,1,"National Geospatial Agency"
"niem-xsd","xsd","http://niem.gov/niem/proxy/xsd/2.0","2.0","P",0,1,"Proxy types that carry dictionary metadata and have XML data type simple contents."
"nlets","nlets","http://niem.gov/niem/nlets/2.1","2.1","E",0,1,"NLETS - The International Justice and Public Safety Information Sharing Network"
"nonauth","nonauthoritative-code","http://niem.gov/niem/nonauthoritative-code/2.0","2.0","E",0,1,"Non-authoritative codes for the direction of a person&apos;s pose in an image."
"s","structures","http://niem.gov/niem/structures/2.0","2.0","S",1,1,"Schema constructs for use by NIEM-conformant schemas to provide consistent definitions and functionality."
"sar","sar","http://niem.gov/niem/sar/2.1","2.1","E",0,1,"Suspicious Activity Reporting"
"scr","screening","http://niem.gov/niem/domains/screening/2.1","2.1","D",0,1,"The People Screening domain provides harmonized information sharing content within the Screening Portfolio of DHS.  The Screening namespace is initially being populated with person screening information for immigrant and non-immigrant person types who have been encountered and identified by the Screening Portfolio Components.  Screening expands on encounter-related NIEM elements currently included in the Immigration and Intelligence domains."
"twpdes","twpdes","http://niem.gov/niem/twpdes/2.0","2.0","E",0,1,"Terrorist Watchlist Person Data Exchange Standard"
"ucr","ucr","http://niem.gov/niem/ucr/2.0","2.0","E",0,1,"Crime reporting codes from Uniform Crime Reporting."
"unece","unece_rec20-misc","http://niem.gov/niem/unece_rec20-misc/2.0","2.0","E",0,1,"Miscellaneous unit of measure codes from the United Nations Economic Commission for Europe Recommendation No. 20, Codes for Units of Measure used in International Trade."
"usps","usps_states","http://niem.gov/niem/usps_states/2.0","2.0","E",0,1,"U.S. state and possession abbreviations from the U.S. Postal Service (USPS)."
"ut_offender","ut_offender-tracking-misc","http://niem.gov/niem/ut_offender-tracking-misc/2.0","2.0","E",0,1,"Plea and military discharge codes from the Utah Offender Tracking Database, version 2.03."
"xhtml","","http://www.w3.org/1999/xhtml","1.0","S",1,1,"The Extensible HyperText Markup Language, a family of current and future document types and modules that reproduce, subset, and extend HTML 4."
"xlink","",,"2.1","N",1,0,"GML 3.0 candidate xlinks schema. Copyright (c) 2001 OGC, All Rights Reserved."
"xls","",,"2.1","N",1,0,"A profile of OpenGeospatialConsortium (OpenGIS, OGC) OpenLS (Location Services) version 1.1 schemas. A profile of OpenGeospatialConsortium (OpenGIS, OGC) OpenLS (Location Services) version 1.1 schemas that have been edited to use GML version 3.2.1 schemas instead of the GML version 3.0 schemas that were current when OpenLS version 1.1 was promulgated.  See http://www.opengeospatial.org for documentation, http://schemas.opengis.net/ols/ for schemas."
"xsd","","http://www.w3.org/2001/XMLSchema","1.0","S",1,1,"The XML Schema definition language, which offers facilities for describing the structure and constraining the contents of XML documents."
