"PropertyNamespacePrefix","PropertyName","QualifiedProperty","IsElement","IsAbstract","Keywords","ExampleContent","UsageInfo","Definition","TypeNamespacePrefix","TypeName","QualifiedType","SubstitutionGroupPropertyNamespacePrefix","SubstitutionGroupPropertyName","SubstitutionGroupQualifiedProperty"
"ansi-nist","ActivityApprovalDate","ansi-nist:ActivityApprovalDate",1,0,,,,"Date the information was reviewed, signed off, or otherwise approved as a whole.","nc","DateType","nc:DateType",,,
"j","ActivityArrestAssociation","j:ActivityArrestAssociation",1,0,"","","","An association between an activity and an arrest.","j","ActivityArrestAssociationType","j:ActivityArrestAssociationType",,,
"j","ActivityAssistingPersonAssociation","j:ActivityAssistingPersonAssociation",1,0,,,,"An association between an activity and someone who assists with that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"ansi-nist","ActivityAugmentation","ansi-nist:ActivityAugmentation",1,0,,,,"An augmentation that applies to type nc:ActivityType","ansi-nist","ActivityAugmentationType","ansi-nist:ActivityAugmentationType",,,
"j","ActivityAugmentation","j:ActivityAugmentation",1,0,"","","","Additional information about an activity.","j","ActivityAugmentationType","j:ActivityAugmentationType",,,
"nc","ActivityBillRecipientOrganizationAssociation","nc:ActivityBillRecipientOrganizationAssociation",1,0,,,,"An association between an activity and an organization which receives a bill for the activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"nc","ActivityBillRecipientPersonAssociation","nc:ActivityBillRecipientPersonAssociation",1,0,,,,"An association between an activity and a person who receives a bill for the activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityCaseAssociation","j:ActivityCaseAssociation",1,0,"","","","An association between an activity and a case.","j","ActivityCaseAssociationType","j:ActivityCaseAssociationType",,,
"nc","ActivityCategoryText","nc:ActivityCategoryText",1,0,,"For an arrest, this could be ""felony arrest"".  For an incident, this could be ""burglary"".  For an encounter, this could be ""interview"".",,"A kind of activity.","nc","TextType","nc:TextType",,,
"j","ActivityChargeAssociation","j:ActivityChargeAssociation",1,0,"","","","An association between an activity and a charge.","j","ActivityChargeAssociationType","j:ActivityChargeAssociationType",,,
"j","ActivityClearerPersonAssociation","j:ActivityClearerPersonAssociation",1,0,,,,"An association between an activity and a person who cleared information for that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"scr","ActivityCommentText","scr:ActivityCommentText",1,0,,,,"A note or comment about an activity.","nc","TextType","nc:TextType",,,
"j","ActivityCommunityServiceAssociation","j:ActivityCommunityServiceAssociation",1,0,"","","","An association between an activity and an assignment of community service.","j","ActivityCommunityServiceAssociationType","j:ActivityCommunityServiceAssociationType",,,
"j","ActivityContactInformationAssociation","j:ActivityContactInformationAssociation",1,0,"","","","An association between an activity and contact information for that activity.","j","ActivityContactInformationAssociationType","j:ActivityContactInformationAssociationType",,,
"nc","ActivityConveyanceAssociation","nc:ActivityConveyanceAssociation",1,0,"","","","An association between an activity and a conveyance.","nc","ActivityConveyanceAssociationType","nc:ActivityConveyanceAssociationType",,,
"j","ActivityCounselingAssociation","j:ActivityCounselingAssociation",1,0,"","","","An association between an activity and counseling.","j","ActivityCounselingAssociationType","j:ActivityCounselingAssociationType",,,
"j","ActivityCourtAssociation","j:ActivityCourtAssociation",1,0,"","","","An association between an activity and a court.","j","ActivityCourtAssociationType","j:ActivityCourtAssociationType",,,
"j","ActivityCourtOrderAssociation","j:ActivityCourtOrderAssociation",1,0,"","","","An association between an activity and a court order.","j","ActivityCourtOrderAssociationType","j:ActivityCourtOrderAssociationType",,,
"j","ActivityCriminalOrganizationAssociation","j:ActivityCriminalOrganizationAssociation",1,0,"","","","An association between an activity and a criminal organization.","j","ActivityCriminalOrganizationAssociationType","j:ActivityCriminalOrganizationAssociationType",,,
"j","ActivityCustodyTransferAssociation","j:ActivityCustodyTransferAssociation",1,0,"","","","An association between an activity and transfer of custody.","j","ActivityCustodyTransferAssociationType","j:ActivityCustodyTransferAssociationType",,,
"nc","ActivityDate","nc:ActivityDate",1,0,,,,"A date of an activity.","nc","DateType","nc:DateType","nc","ActivityDateRepresentation","nc:ActivityDateRepresentation"
"nc","ActivityDateRange","nc:ActivityDateRange",1,0,,,,"A period of time over which an activity occurs.","nc","DateRangeType","nc:DateRangeType","nc","ActivityDateRepresentation","nc:ActivityDateRepresentation"
"nc","ActivityDateRepresentation","nc:ActivityDateRepresentation",1,1,,,,"A date an activity occurs.",,,,,,
"nc","ActivityDescriptionText","nc:ActivityDescriptionText",1,0,,,,"A description of an activity.","nc","TextType","nc:TextType",,,
"j","ActivityDispatcherAssociation","j:ActivityDispatcherAssociation",1,0,,,,"An association between an activity and a person who assigns people or units to respond to an activity or location.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"nc","ActivityDisposition","nc:ActivityDisposition",1,0,,,,"A result or outcome of an activity.","nc","DispositionType","nc:DispositionType",,,
"nc","ActivityDocumentAssociation","nc:ActivityDocumentAssociation",1,0,,,,"An association between an activity and a document.","nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType",,,
"j","ActivityDocumentServer","j:ActivityDocumentServer",1,0,"","","For example, a warrant or a restraining order.","An entity responsible for service of a legal document.","nc","EntityType","nc:EntityType",,,
"j","ActivityDocumentValidator","j:ActivityDocumentValidator",1,0,"","","The document could be a warrant.","An entity to contact to validate a document.","nc","EntityType","nc:EntityType",,,
"j","ActivityDriverLicenseAssociation","j:ActivityDriverLicenseAssociation",1,0,"","","","An association between an activity and a driver license.","j","ActivityDriverLicenseAssociationType","j:ActivityDriverLicenseAssociationType",,,
"j","ActivityEmployeeAssociation","j:ActivityEmployeeAssociation",1,0,"","","","An association between an activity and an employee.","j","ActivityEmployeeAssociationType","j:ActivityEmployeeAssociationType",,,
"ansi-nist","ActivityEndTimeZoneCode","ansi-nist:ActivityEndTimeZoneCode",1,0,,,,"Time Zone corresponding to the Activity End time.  EDT during the months of Daylight Savings Time.","ansi-nist","TMZCodeType","ansi-nist:TMZCodeType",,,
"j","ActivityEnforcementOfficialAssociation","j:ActivityEnforcementOfficialAssociation",1,0,,,,"An association between an activity and an enforcement official.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityEvidenceAssociation","j:ActivityEvidenceAssociation",1,0,"","","","An association between an activity and evidence.","j","ActivityEvidenceAssociationType","j:ActivityEvidenceAssociationType",,,
"j","ActivityEvidenceLedgerAssociation","j:ActivityEvidenceLedgerAssociation",1,0,,,,"An association between an activity and an evidence ledger.","nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType",,,
"j","ActivityFacilityAssociation","j:ActivityFacilityAssociation",1,0,"","","","An association between an activity and a facility.","j","ActivityFacilityAssociationType","j:ActivityFacilityAssociationType",,,
"j","ActivityFeeAssociation","j:ActivityFeeAssociation",1,0,"","","","An association between an activity and a fee.","j","ActivityFeeAssociationType","j:ActivityFeeAssociationType",,,
"j","ActivityForceAssociation","j:ActivityForceAssociation",1,0,"","","","An association between an activity and a use of force.","j","ActivityForceAssociationType","j:ActivityForceAssociationType",,,
"nc","ActivityIdentification","nc:ActivityIdentification",1,0,,,,"An identification that references an activity.","nc","IdentificationType","nc:IdentificationType",,,
"j","ActivityIncidentAssociation","j:ActivityIncidentAssociation",1,0,"","","","An association between an activity and an incident.","j","ActivityIncidentAssociationType","j:ActivityIncidentAssociationType",,,
"nc","ActivityInformationAbstracterOrganizationAssociation","nc:ActivityInformationAbstracterOrganizationAssociation",1,0,,,,"An association between an activity and an organization that abstracted information for that activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"j","ActivityInformationAbstracterPersonAssociation","j:ActivityInformationAbstracterPersonAssociation",1,0,,,,"An association between an activity and a person who abstracted information about that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityInformationApproverAssociation","j:ActivityInformationApproverAssociation",1,0,,,,"An association between an activity and a person who approved information for that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"nc","ActivityInformationClearerOrganizationAssociation","nc:ActivityInformationClearerOrganizationAssociation",1,0,,,,"An association between an activity and an organization that cleared information for that activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"j","ActivityInformationOwnerAssociation","j:ActivityInformationOwnerAssociation",1,0,,,,"An association between an activity and a person who owns the information regarding that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityInformationReleaserAssociation","j:ActivityInformationReleaserAssociation",1,0,,,,"An association between an activity and a person who releases the information about that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityInformationReporterAssociation","j:ActivityInformationReporterAssociation",1,0,,,,"An association between an activity and a person who reports information about that activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"nc","ActivityInvolvedOrganizationAssociation","nc:ActivityInvolvedOrganizationAssociation",1,0,,,,"An association between an activity and an organization somehow involved in that activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"nc","ActivityInvolvedPersonAssociation","nc:ActivityInvolvedPersonAssociation",1,0,,,,"An association between an activity and a person involved in that activity.","nc","ActivityInvolvedPersonAssociationType","nc:ActivityInvolvedPersonAssociationType",,,
"nc","ActivityItemAssociation","nc:ActivityItemAssociation",1,0,,,,"An association between an activity and an item.","nc","ActivityItemAssociationType","nc:ActivityItemAssociationType",,,
"j","ActivityJudgeAssociation","j:ActivityJudgeAssociation",1,0,"","","","An association between an activity and a judge.","j","ActivityJudgeAssociationType","j:ActivityJudgeAssociationType",,,
"j","ActivityJudicialOfficialAssociation","j:ActivityJudicialOfficialAssociation",1,0,,,,"An association between an activity and a judicial official.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityJurisdictionAssociation","j:ActivityJurisdictionAssociation",1,0,"","","","An association between an activity and a jurisdiction.","j","ActivityJurisdictionAssociationType","j:ActivityJurisdictionAssociationType",,,
"j","ActivityLabReceiptAssociation","j:ActivityLabReceiptAssociation",1,0,,,,"An association between an activity and a lab receipt.","nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType",,,
"j","ActivityLocationAssociation","j:ActivityLocationAssociation",1,0,"","","","An association between an activity and a location.","j","ActivityLocationAssociationType","j:ActivityLocationAssociationType",,,
"nc","ActivityName","nc:ActivityName",1,0,,,,"A name of an activity.","nc","TextType","nc:TextType",,,
"j","ActivityNarrativeDocumentAssociation","j:ActivityNarrativeDocumentAssociation",1,0,,,,"An association between an activity and a document providing a narrative of that activity.","nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType",,,
"j","ActivityObligationAssociation","j:ActivityObligationAssociation",1,0,"","","","An association between an activity and an obligation.","j","ActivityObligationAssociationType","j:ActivityObligationAssociationType",,,
"j","ActivityOfficial","j:ActivityOfficial",1,0,"","","","An official associated with an activity","nc","PersonType","nc:PersonType",,,
"j","ActivityOfficialAssociation","j:ActivityOfficialAssociation",1,0,,,,"An association between an activity and an official.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivityOriginatingDocumentAssociation","j:ActivityOriginatingDocumentAssociation",1,0,,,,"An association between an activity and a document that originated it.","nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType",,,
"nc","ActivityPrimaryOrganizationAssociation","nc:ActivityPrimaryOrganizationAssociation",1,0,,,,"An association between an activity and an organization primarily associated with that activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"scr","ActivityPriorityQuantity","scr:ActivityPriorityQuantity",1,0,,,,"Priority value of the activity, with 0-4 as gradient normal, 4 as the default, and 5-9 as gradient expedited priority.","nc","NumericType","nc:NumericType",,,
"scr","ActivityProcessCategoryCode","scr:ActivityProcessCategoryCode",1,0,"","","","A kind of activity process.","scr","ActivityProcessCategoryCodeType","scr:ActivityProcessCategoryCodeType",,,
"scr","ActivityProcessClassification","scr:ActivityProcessClassification",1,0,"","","","A kind of activity process.","scr","ActivityProcessClassificationType","scr:ActivityProcessClassificationType",,,
"scr","ActivityProcessDescriptionText","scr:ActivityProcessDescriptionText",1,0,"","","","A description of a kind of activity process.","nc","TextType","nc:TextType",,,
"j","ActivityProgramAssociation","j:ActivityProgramAssociation",1,0,"","","","An association between an activity and a program.","j","ActivityProgramAssociationType","j:ActivityProgramAssociationType",,,
"nc","ActivityReasonText","nc:ActivityReasonText",1,0,,,,"A reason for an activity.","nc","TextType","nc:TextType",,,
"j","ActivityReferralAssociation","j:ActivityReferralAssociation",1,0,"","","","An association between an activity and a referral.","j","ActivityReferralAssociationType","j:ActivityReferralAssociationType",,,
"nc","ActivityRelationText","nc:ActivityRelationText",1,0,,,,"A relationship between activities.","nc","TextType","nc:TextType",,,
"j","ActivityReleaseAssociation","j:ActivityReleaseAssociation",1,0,"","","","An association between an activity and a release.","j","ActivityReleaseAssociationType","j:ActivityReleaseAssociationType",,,
"nc","ActivityReportingOrganizationAssociation","nc:ActivityReportingOrganizationAssociation",1,0,,,,"An association between an activity and an organization that responded to that organization.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"scr","ActivityRequestCategoryCode","scr:ActivityRequestCategoryCode",1,0,"","","","A kind of activity request.","scr","ActivityRequestCategoryCodeType","scr:ActivityRequestCategoryCodeType",,,
"scr","ActivityRequestClassification","scr:ActivityRequestClassification",1,0,"","","","A kind of activity request.","scr","ActivityRequestClassificationType","scr:ActivityRequestClassificationType",,,
"scr","ActivityRequestDescriptionText","scr:ActivityRequestDescriptionText",1,0,"","","","A description of a kind of activity request.","nc","TextType","nc:TextType",,,
"scr","ActivityResponseCategoryCode","scr:ActivityResponseCategoryCode",1,0,"","","","A kind of activity response.","scr","ActivityResponseCategoryCodeType","scr:ActivityResponseCategoryCodeType",,,
"scr","ActivityResponseClassification","scr:ActivityResponseClassification",1,0,"","","","A kind of activity response.","scr","ActivityResponseClassificationType","scr:ActivityResponseClassificationType",,,
"scr","ActivityResponseDescriptionText","scr:ActivityResponseDescriptionText",1,0,"","","","A description of a kind of activity response.","nc","TextType","nc:TextType",,,
"scr","ActivityResponseQuantity","scr:ActivityResponseQuantity",1,0,,,,"Quantity indicating the number of results to return for the request.","nc","NumericType","nc:NumericType",,,
"scr","ActivityResponseRuleText","scr:ActivityResponseRuleText",1,0,,,,"Rules defining how to handle the results being returned for the request.","nc","TextType","nc:TextType",,,
"scr","ActivityResponseText","scr:ActivityResponseText",1,0,,,,"Text that contains the ACTIVITY RESPONSE value","nc","TextType","nc:TextType",,,
"nc","ActivityResponsibleOrganizationAssociation","nc:ActivityResponsibleOrganizationAssociation",1,0,,,,"An association between an activity and an organization with responsibility over that activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"scr","ActivityResultsCategoryCode","scr:ActivityResultsCategoryCode",1,0,"","","","A kind of activity results.","scr","ActivityResultsCategoryCodeType","scr:ActivityResultsCategoryCodeType",,,
"scr","ActivityResultsClassification","scr:ActivityResultsClassification",1,0,"","","","A kind of activity results.","scr","ActivityResultsClassificationType","scr:ActivityResultsClassificationType",,,
"scr","ActivityResultsDescriptionText","scr:ActivityResultsDescriptionText",1,0,"","","","A description of a kind of activity results.","nc","TextType","nc:TextType",,,
"j","ActivitySanctionAssociation","j:ActivitySanctionAssociation",1,0,"","","","An association between an activity and a sanction.","j","ActivitySanctionAssociationType","j:ActivitySanctionAssociationType",,,
"nc","ActivityScheduleAssociation","nc:ActivityScheduleAssociation",1,0,,,,"An association between an activity and a scheduling of that activity.","nc","ActivityScheduleAssociationType","nc:ActivityScheduleAssociationType",,,
"j","ActivityServiceCallAssociation","j:ActivityServiceCallAssociation",1,0,"","","","An association between an activity and a service call.","j","ActivityServiceCallAssociationType","j:ActivityServiceCallAssociationType",,,
"scr","ActivitySiteID","scr:ActivitySiteID",1,0,,,,"The site where the information was collected.","niem-xsd","string","niem-xsd:string",,,
"nc","ActivityStatus","nc:ActivityStatus",1,0,,,,"A status of an activity.","nc","StatusType","nc:StatusType",,,
"j","ActivitySubjectAssociation","j:ActivitySubjectAssociation",1,0,"","","","An association between an activity and a subject.","j","ActivitySubjectAssociationType","j:ActivitySubjectAssociationType",,,
"nc","ActivitySupervisorOrganizationAssociation","nc:ActivitySupervisorOrganizationAssociation",1,0,,,,"An association between an activity and an organization supervising that activity.","nc","ActivityOrganizationAssociationType","nc:ActivityOrganizationAssociationType",,,
"nc","ActivitySupervisorPersonAssociation","nc:ActivitySupervisorPersonAssociation",1,0,,,,"An association between an activity and a person who supervises the activity.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"j","ActivitySupplementalDocumentAssociation","j:ActivitySupplementalDocumentAssociation",1,0,,,,"An association between an activity and a supplemental document.","nc","ActivityDocumentAssociationType","nc:ActivityDocumentAssociationType",,,
"scr","ActivityTerminalID","scr:ActivityTerminalID",1,0,,,,"The terminal device where the information was collected.","niem-xsd","string","niem-xsd:string",,,
"ansi-nist","ActivityTimeZoneCode","ansi-nist:ActivityTimeZoneCode",1,0,,,,"Time Zone corresponding to the Activity time.  EDT during the months of Daylight Savings Time.","ansi-nist","TMZCodeType","ansi-nist:TMZCodeType",,,
"j","ActivityUnitAssociation","j:ActivityUnitAssociation",1,0,"","","","An association between an activity and a unit.","j","ActivityUnitAssociationType","j:ActivityUnitAssociationType",,,
"j","ActivityUnknownAffiliateAssociation","j:ActivityUnknownAffiliateAssociation",1,0,,,,"An association between an activity and a person of unknown involvement.","nc","ActivityPersonAssociationType","nc:ActivityPersonAssociationType",,,
"scr","ActivityUserLogonID","scr:ActivityUserLogonID",1,0,,,,"The Agent which collected the activity information.","niem-xsd","string","niem-xsd:string",,,
"j","ActivityVictimAssociation","j:ActivityVictimAssociation",1,0,"","","","An association between an activity and a victim.","j","ActivityVictimAssociationType","j:ActivityVictimAssociationType",,,
"j","ActivityWarrantAssociation","j:ActivityWarrantAssociation",1,0,"","","","An association between an activity and a warrant.","j","ActivityWarrantAssociationType","j:ActivityWarrantAssociationType",,,
"j","ActivityWitnessAssociation","j:ActivityWitnessAssociation",1,0,"","","","An association between an activity and a witness.","j","ActivityWitnessAssociationType","j:ActivityWitnessAssociationType",,,
"ip","ActualArrivalTime","ip:ActualArrivalTime",1,0,,,,"The actual arrival time of the flight.","niem-xsd","time","niem-xsd:time",,,
"ip","ActualDepartureTime","ip:ActualDepartureTime",1,0,,,,"The actual departure time of the flight.","niem-xsd","time","niem-xsd:time",,,
"im","ActualDeportationDate","im:ActualDeportationDate",1,0,,,,"The date on which the alien was deported from the United States.","nc","DateType","nc:DateType",,,
"im","ActualReleaseDate","im:ActualReleaseDate",1,0,,,,"The date on which the alien was released from a detention facility.","nc","DateType","nc:DateType",,,
"em","AdditionalCapacity24HrQuantity","em:AdditionalCapacity24HrQuantity",1,0,,,,"Estimate of the beds, above the current number, that could be made vacant/available within 24 hours.","nc","QuantityType","nc:QuantityType",,,
"em","AdditionalCapacity72HrQuantity","em:AdditionalCapacity72HrQuantity",1,0,,,,"Estimate of the beds, above the current number, that could be made vacant/available within 72 hours.","nc","QuantityType","nc:QuantityType",,,
"it","AdditionalDocument","it:AdditionalDocument",1,0,,,,"A document providing additional information.","nc","DocumentType","nc:DocumentType",,,
"geo","Address","geo:Address",1,1,,,,"Abstract place-holder in a schema to use a non-abstract address element defined by an external standard.",,,,"geo","Geospatial","geo:Geospatial"
"nc","Address","nc:Address",1,0,,,,"A postal location to which paper mail can be directed.","nc","AddressType","nc:AddressType",,,
"xls","Address","xls:Address",1,0,,,,"",,,,,,
"it","AddressAugmentation","it:AddressAugmentation",1,0,"","","","Additional information about an address.","it","AddressAugmentationType","it:AddressAugmentationType",,,
"scr","AddressAugmentation","scr:AddressAugmentation",1,0,"","","","Additional information about an address.","scr","AddressAugmentationType","scr:AddressAugmentationType",,,
"nc","AddressBuildingText","nc:AddressBuildingText",1,0,,,,"A physical structure at an address.","nc","TextType","nc:TextType","nc","AddressDeliveryPoint","nc:AddressDeliveryPoint"
"scr","AddressClassification","scr:AddressClassification",1,0,,,,"A classification of an ADDRESS","scr","AddressClassificationType","scr:AddressClassificationType",,,
"scr","AddressClassificationCategoryCode","scr:AddressClassificationCategoryCode",1,0,"","Geophysical, Electronic, Primary, Secondary, Temporary","","A kind of address.","scr","AddressCategoryCodeType","scr:AddressCategoryCodeType",,,
"scr","AddressClassificationCategoryDescriptionText","scr:AddressClassificationCategoryDescriptionText",1,0,"","Geophysical, Electronic, Primary, Secondary, Temporary","","A description of a kind of address.","nc","TextType","nc:TextType",,,
"nc","AddressDeliveryPoint","nc:AddressDeliveryPoint",1,1,,,,"A single place or unit at which mail is delivered.",,,,,,
"nc","AddressDeliveryPointID","nc:AddressDeliveryPointID",1,0,,,,"An identifier of a single place or unit at which mail is delivered.","niem-xsd","string","niem-xsd:string","nc","AddressDeliveryPoint","nc:AddressDeliveryPoint"
"nc","AddressDeliveryPointText","nc:AddressDeliveryPointText",1,0,"PO Box, post office box, post office box number","PO Box 1234",,"A single place or unit at which mail is delivered.","nc","TextType","nc:TextType","nc","AddressDeliveryPoint","nc:AddressDeliveryPoint"
"nc","AddressFullText","nc:AddressFullText",1,0,,,"Usually includes street, city, state, and zip code information.  Can also include other mailing specifics such as PO Box, apartment number, or suite number.","A complete address.","nc","TextType","nc:TextType","nc","AddressRepresentation","nc:AddressRepresentation"
"nc","AddressGrid","nc:AddressGrid",1,0,,,,"A location identified by a unit of a grid system overlaid on an area.","nc","AddressGridType","nc:AddressGridType",,,
"nc","AddressGridID","nc:AddressGridID",1,0,,,,"An identifier that references a unique address grid system.","niem-xsd","string","niem-xsd:string",,,
"nc","AddressGridText","nc:AddressGridText",1,0,,,,"A unit, quadrant, or other subdivision of an address grid.","nc","TextType","nc:TextType",,,
"scr","AddressIdentification","scr:AddressIdentification",1,0,,,,"An identifier that represents an ADDRESS.","nc","IdentificationType","nc:IdentificationType",,,
"nc","AddressPrivateMailboxText","nc:AddressPrivateMailboxText",1,0,"mail stop code",,,"A private mailbox within a company.","nc","TextType","nc:TextType","nc","AddressDeliveryPoint","nc:AddressDeliveryPoint"
"geo","AddressProperty","geo:AddressProperty",1,0,,,,"Encapsulates or references an Address element. The Geography Markup Language (GML) specification uses property types and elements to encapsulate or reference GML class elements with identity.  This element allows NIEM Address elements to be referenced from GML conformant application schemas developed for use with NIEM.","geo","AddressPropertyType","geo:AddressPropertyType",,,
"nc","AddressRecipientName","nc:AddressRecipientName",1,0,,,,"A name of a person, organization, or other recipient to whom physical mail may be sent.","nc","TextType","nc:TextType",,,
"nc","AddressRepresentation","nc:AddressRepresentation",1,1,,,,"A representation of an address.",,,,,,
"nc","AddressSecondaryUnitText","nc:AddressSecondaryUnitText",1,0,"apartment number, suite number",,,"A particular unit within a larger unit or grouping at a location.","nc","TextType","nc:TextType","nc","AddressDeliveryPoint","nc:AddressDeliveryPoint"
"nc","AdministrativeID","nc:AdministrativeID",1,0,,,,"An identifier generated locally within a processing system used to identify sub-records within an entity of interest record.","niem-xsd","string","niem-xsd:string",,,
"im","AdmissionIdentification","im:AdmissionIdentification",1,0,,,,"A number indicating an alien students admission (I-94) number.","nc","IdentificationType","nc:IdentificationType",,,
"scr","AdmitDefaultDayQuantity","scr:AdmitDefaultDayQuantity",1,0,,,,"The quantity of days after the visa maximum day quantity that the subject is authorized to stay in the United States based on the CLASS OF ADMISSION.","nc","QuantityType","nc:QuantityType",,,
"scr","AdmitDurationStatusIndicator","scr:AdmitDurationStatusIndicator",1,0,,,,"An indicator indicating whether the admittance length for a person at ARRIVAL is based on Duration of Status.","niem-xsd","boolean","niem-xsd:boolean",,,
"scr","AdmitMaximumDayQuantity","scr:AdmitMaximumDayQuantity",1,0,,,,"A quantity of maximum number of days a specified in the CLASS OF ADMISSION TYPE.","nc","QuantityType","nc:QuantityType",,,
"scr","AdmitToDate","scr:AdmitToDate",1,0,,,,"The date , as specified at ARRIVAL, on which the alien is no longer authorized to stay in the United State.","nc","DateType","nc:DateType",,,
"scr","AdoptedChildAssociation","scr:AdoptedChildAssociation",1,0,,,,"An unmarried CHILD under 18 years of age taken voluntarily as a dependent by a person other than his/her biological parents.","scr","AdoptedChildAssociationType","scr:AdoptedChildAssociationType",,,
"scr","AdoptionCityName","scr:AdoptionCityName",1,0,,,,"The name of the city where the ADOPTED CHILD is adopted.","nc","TextType","nc:TextType",,,
