"PropertyNamespacePrefix","PropertyName","QualifiedProperty","IsElement","IsAbstract","Keywords","ExampleContent","UsageInfo","Definition","TypeNamespacePrefix","TypeName","QualifiedType","SubstitutionGroupPropertyNamespacePrefix","SubstitutionGroupPropertyName","SubstitutionGroupQualifiedProperty"
"u","ActivityDate","u:ActivityDate",1,0,,,,"A date of an activity that occurs at a singular point in time or a start date of an activity that occurs over a period of time.","u","DateType","u:DateType",,,
"u","ActivityDescriptionText","u:ActivityDescriptionText",1,0,,,,"A description or narrative of the activity or process that occurred.","u","TextType","u:TextType",,,
"j","ActivityDispatcherAssociation","j:ActivityDispatcherAssociation",1,0,,,,"An association between an activity and a person who assigns people or units to respond to an activity or location.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"u","ActivityDisposition","u:ActivityDisposition",1,0,,,,"Details about the result of handling of an activity.","u","DispositionType","u:DispositionType",,,
"c","ActivityDocumentAssociation","c:ActivityDocumentAssociation",1,0,,,,"An association between an activity and a document.","c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType",,,
"j","ActivityDocumentServer","j:ActivityDocumentServer",1,1,,,,"An entity responsible for service of a legal document, e.g., a warrant or a restraining order.",,,,,,
"j","ActivityDocumentValidator","j:ActivityDocumentValidator",1,1,,,,"An entity to contact to validate a document, such as a warrant.",,,,,,
"u","ActivityEndDate","u:ActivityEndDate",1,0,,,,"An end or completion date of an activity that occurs over a duration of time.","u","DateType","u:DateType",,,
"u","ActivityEndTime","u:ActivityEndTime",1,0,,,,"An end or completion time of an activity that occurs over a period of time.","niem-xsd","time","niem-xsd:time",,,
"j","ActivityEnforcementOfficialAssociation","j:ActivityEnforcementOfficialAssociation",1,0,,,,"An association between an activity and an enforcement official.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityEvidenceLedgerAssociation","j:ActivityEvidenceLedgerAssociation",1,0,,,,"An association between an activity and an evidence ledger.","c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType",,,
"u","ActivityID","u:ActivityID",1,0,,,,"An identifier that uniquely refers to an activity or process that occurred.","u","IDType","u:IDType",,,
"c","ActivityInformationAbstracterOrganizationAssociation","c:ActivityInformationAbstracterOrganizationAssociation",1,0,,,,"An association between an activity and an organization that abstracted information for that activity.","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"j","ActivityInformationAbstracterPersonAssociation","j:ActivityInformationAbstracterPersonAssociation",1,0,,,,"An association between an activity and a person who abstracted information about that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityInformationApproverAssociation","j:ActivityInformationApproverAssociation",1,0,,,,"An association between an activity and a person who approved information for that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"c","ActivityInformationClearerOrganizationAssociation","c:ActivityInformationClearerOrganizationAssociation",1,0,,,,"An association between an activity and an organization that cleared information for that activity.","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"j","ActivityInformationOwnerAssociation","j:ActivityInformationOwnerAssociation",1,0,,,,"An association between an activity and a person who owns the information regarding that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityInformationReleaserAssociation","j:ActivityInformationReleaserAssociation",1,0,,,,"An association between an activity and a person who releases the information about that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityInformationReporterAssociation","j:ActivityInformationReporterAssociation",1,0,,,,"An association between an activity and a person who reports information about that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"c","ActivityInvolvedOrganizationAssociation","c:ActivityInvolvedOrganizationAssociation",1,0,,,,"","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"c","ActivityInvolvedPersonAssociation","c:ActivityInvolvedPersonAssociation",1,0,,,,"","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityInvolvedPersonAssociation","j:ActivityInvolvedPersonAssociation",1,0,,,,"An association between an activity and a person involved with that activity.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityJudicialOfficialAssociation","j:ActivityJudicialOfficialAssociation",1,0,,,,"An association between an activity and a judicial official.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"j","ActivityLabReceiptAssociation","j:ActivityLabReceiptAssociation",1,0,,,,"An association between an activity and a lab receipt.","c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType",,,
"j","ActivityNarrativeDocumentAssociation","j:ActivityNarrativeDocumentAssociation",1,0,,,,"An association between an activity and a document providing a narrative of that activity.","c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType",,,
"j","ActivityOfficial","j:ActivityOfficial",1,1,,,,"An official associated with an activity",,,,,,
"j","ActivityOriginatingDocumentAssociation","j:ActivityOriginatingDocumentAssociation",1,0,,,,"An association between an activity and a document that originated it.","c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType",,,
"c","ActivityPreviousActivity","c:ActivityPreviousActivity",1,0,,,,"A previous activity associated with the current activity.","u","ActivityType","u:ActivityType",,,
"j","ActivityPreviousCase","j:ActivityPreviousCase",1,0,,,,"A previous case associated with the current activity.","j","CaseType","j:CaseType",,,
"c","ActivityPrimaryOrganizationAssociation","c:ActivityPrimaryOrganizationAssociation",1,0,,,,"An association between an activity and an organization primarily associated with that activity.","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"scr","ActivityPriorityQuantity","scr:ActivityPriorityQuantity",1,0,,,,"Priority value of the activity, with 0-4 as gradient normal, 4 as the default, and 5-9 as gradient expedited priority.","u","NumericType","u:NumericType",,,
"scr","ActivityProcessCategoryCode","scr:ActivityProcessCategoryCode",1,0,,,,"A code that identifies the ACTIVITY PROCESS TYPE","scr","ActivityProcessCategoryCodeType","scr:ActivityProcessCategoryCodeType",,,
"scr","ActivityProcessClassification","scr:ActivityProcessClassification",1,0,,,,"A code that identifies the ACTIVITY PROCESS TYPE","scr","ActivityProcessClassificationType","scr:ActivityProcessClassificationType",,,
"scr","ActivityProcessDescriptionText","scr:ActivityProcessDescriptionText",1,0,,,,"Text that describes the ACTIVITY PROCESS TYPE","u","TextType","u:TextType",,,
"u","ActivityReasonText","u:ActivityReasonText",1,0,,,,"A reason why an activity or process occurred.","u","TextType","u:TextType",,,
"c","ActivityReportingOrganizationAssociation","c:ActivityReportingOrganizationAssociation",1,0,,,,"An association between an activity and an organization that responded to that organization.","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"scr","ActivityRequestCategoryCode","scr:ActivityRequestCategoryCode",1,0,,,,"A code that identifies the ACTIVITY REQUEST TYPE","scr","ActivityRequestCategoryCodeType","scr:ActivityRequestCategoryCodeType",,,
"scr","ActivityRequestClassification","scr:ActivityRequestClassification",1,0,,,,"A code that identifies the ACTIVITY REQUEST TYPE","scr","ActivityRequestClassificationType","scr:ActivityRequestClassificationType",,,
"scr","ActivityRequestDescriptionText","scr:ActivityRequestDescriptionText",1,0,,,,"Text that describes the ACTIVITY REQUEST TYPE","u","TextType","u:TextType",,,
"scr","ActivityResponseCategoryCode","scr:ActivityResponseCategoryCode",1,0,,,,"A code that identifies the ACTIVITY RESPONSE TYPE","scr","ActivityResponseCategoryCodeType","scr:ActivityResponseCategoryCodeType",,,
"scr","ActivityResponseClassification","scr:ActivityResponseClassification",1,0,,,,"A code that identifies the ACTIVITY RESPONSE TYPE","scr","ActivityResponseClassificationType","scr:ActivityResponseClassificationType",,,
"scr","ActivityResponseDescriptionText","scr:ActivityResponseDescriptionText",1,0,,,,"Text that describes the ACTIVITY RESPONSE TYPE","u","TextType","u:TextType",,,
"scr","ActivityResponseQuantity","scr:ActivityResponseQuantity",1,0,,,,"Quantity indicating the number of results to return for the request.","u","NumericType","u:NumericType",,,
"scr","ActivityResponseRuleText","scr:ActivityResponseRuleText",1,0,,,,"Rules defining how to handle the results being returned for the request.","u","TextType","u:TextType",,,
"scr","ActivityResponseText","scr:ActivityResponseText",1,0,,,,"Text that contains the ACTIVITY RESPONSE value","u","TextType","u:TextType",,,
"c","ActivityResponsibleOrganizationAssociation","c:ActivityResponsibleOrganizationAssociation",1,0,,,,"An association between an activity and an organization with responsibility over that activity.","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"u","ActivityResultDate","u:ActivityResultDate",1,0,,,,"A date that a result of an activity or process occurred.","u","DateType","u:DateType",,,
"scr","ActivityResultsCategoryCode","scr:ActivityResultsCategoryCode",1,0,,,,"A code that identifies the ACTIVITY RESULTS TYPE","scr","ActivityResultsCategoryCodeType","scr:ActivityResultsCategoryCodeType",,,
"scr","ActivityResultsClassification","scr:ActivityResultsClassification",1,0,,,,"A code that identifies the ACTIVITY RESULTS TYPE","scr","ActivityResultsClassificationType","scr:ActivityResultsClassificationType",,,
"scr","ActivityResultsDescriptionText","scr:ActivityResultsDescriptionText",1,0,,,,"Text that describes the ACTIVITY RESULTS TYPE","u","TextType","u:TextType",,,
"u","ActivityResultText","u:ActivityResultText",1,0,,,,"A result or outcome of an activity.","u","TextType","u:TextType",,,
"u","ActivityResultTime","u:ActivityResultTime",1,0,,,,"A time that a result of an activity or process occurred.","niem-xsd","time","niem-xsd:time",,,
"c","ActivityScheduleAssociation","c:ActivityScheduleAssociation",1,0,,,,"An association between an activity and it&apos;s scheduling.","c","ActivityScheduleAssociationType","c:ActivityScheduleAssociationType",,,
"u","ActivityStatus","u:ActivityStatus",1,0,,,,"Details about a status of an activity or process.","u","StatusType","u:StatusType",,,
"c","ActivitySupervisingOrganizationAssociation","c:ActivitySupervisingOrganizationAssociation",1,0,,,,"An association between an activity and an organization supervising that activity.","c","ActivityInvolvedOrganizationAssociationType","c:ActivityInvolvedOrganizationAssociationType",,,
"j","ActivitySupplementalDocumentAssociation","j:ActivitySupplementalDocumentAssociation",1,0,,,,"An association between an activity and a supplemental document.","c","ActivityDocumentAssociationType","c:ActivityDocumentAssociationType",,,
"u","ActivityTime","u:ActivityTime",1,0,,,,"A time of an activity that occurs at a singular point in time or a start time of an activity that occurs over a period of time.","niem-xsd","time","niem-xsd:time",,,
"j","ActivityUnknownAffiliateAssociation","j:ActivityUnknownAffiliateAssociation",1,0,,,,"An association between an activity and a person of unknown involvement.","c","ActivityInvolvedPersonAssociationType","c:ActivityInvolvedPersonAssociationType",,,
"c","ActivityUpdateIndicator","c:ActivityUpdateIndicator",1,0,,,,"True if details about an activity is an update to previous activity details received.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","ActivityUsedForce","j:ActivityUsedForce",1,0,,,,"The force, tool, or weapon used in an incident activity.","j","ForceType","j:ForceType",,,
"j","Actor","j:Actor",1,1,,,,"A legal person in the court system. This is either a person, organization, or property item.",,,,,,
"j","ActorOrganization","j:ActorOrganization",1,0,,,,"A legal person in the court system.","j","OrganizationType","j:OrganizationType","j","Actor","j:Actor"
"j","ActorPerson","j:ActorPerson",1,0,,,,"A legal person in the court system.","j","PersonType","j:PersonType","j","Actor","j:Actor"
"j","ActorProperty","j:ActorProperty",1,0,,,,"A legal person in the court system.","j","PropertyType","j:PropertyType","j","Actor","j:Actor"
"ip","ActualArrivalTime","ip:ActualArrivalTime",1,0,,,,"The actual arrival time of the flight.","niem-xsd","time","niem-xsd:time",,,
"ip","ActualDepartureTime","ip:ActualDepartureTime",1,0,,,,"The actual departure time of the flight.","niem-xsd","time","niem-xsd:time",,,
"im","ActualDeportationDate","im:ActualDeportationDate",1,0,,,,"The date on which the alien was deported from the United States.","u","DateType","u:DateType",,,
"im","ActualReleaseDate","im:ActualReleaseDate",1,0,,,,"The date on which the alien was released from a detention facility.","u","DateType","u:DateType",,,
"em","AdditionalCapacity24HrQuantity","em:AdditionalCapacity24HrQuantity",1,0,,,,"Estimate of the beds, above the current number, that could be made vacant/available within 24 hours.","u","QuantityType","u:QuantityType",,,
"em","AdditionalCapacity72HrQuantity","em:AdditionalCapacity72HrQuantity",1,0,,,,"Estimate of the beds, above the current number, that could be made vacant/available within 72 hours.","u","QuantityType","u:QuantityType",,,
"it","AdditionalDocument","it:AdditionalDocument",1,0,,,,"A document providing additional information.","it","DocumentType","it:DocumentType",,,
"c","Address","c:Address",1,0,,,,"A postal location to which paper mail can be directed.","c","AddressType","c:AddressType",,,
"gs","Address","gs:Address",1,1,,,,"Abstract place-holder in a schema to use a non-abstract address element defined by an external standard.",,,,"gs","Geospatial","gs:Geospatial"
"it","Address","it:Address",1,0,,,,"","it","AddressType","it:AddressType",,,
"scr","Address","scr:Address",1,0,,,,"A designation for locating a place.","scr","AddressType","scr:AddressType",,,
"u","Address","u:Address",1,0,,,,"A postal location to which paper mail can be directed.","u","AddressType","u:AddressType",,,
"xls","Address","xls:Address",1,0,,,,"",,,,,,
"it","AddressAugmentation","it:AddressAugmentation",1,0,,,,"An augmentation that applies to type nc:AddressType","it","AddressAugmentationType","it:AddressAugmentationType",,,
"scr","AddressAugmentation","scr:AddressAugmentation",1,0,,,,,"scr","AddressAugmentationType","scr:AddressAugmentationType",,,
"scr","AddressClassification","scr:AddressClassification",1,0,,,,"A classification of an ADDRESS","scr","AddressClassificationType","scr:AddressClassificationType",,,
"scr","AddressClassificationCategoryCode","scr:AddressClassificationCategoryCode",1,0,,,,"A code that identifies the ADDRESS TYPE (i.e., Geophysical, Electronic, Primary, Secondary, Temporary, etc.)","scr","AddressCategoryCodeType","scr:AddressCategoryCodeType",,,
"scr","AddressClassificationCategoryDescriptionText","scr:AddressClassificationCategoryDescriptionText",1,0,,,,"The text that describes the ADDRESS TYPE (i.e., Geophysical, Electronic, Primary, Secondary, Temporary, etc.)","u","TextType","u:TextType",,,
"c","AddressComponent","c:AddressComponent",1,0,,,,"An undefined address components.","c","AddressComponentType","c:AddressComponentType",,,
"c","AddressComponentDescriptionText","c:AddressComponentDescriptionText",1,0,,,,"A description of a miscellaneous address component.","u","TextType","u:TextType",,,
"c","AddressComponentText","c:AddressComponentText",1,0,,,,"A value of the miscellaneous address component.","u","TextType","u:TextType",,,
"u","AddressFullText","u:AddressFullText",1,0,,,,"A complete address.","u","TextType","u:TextType",,,
"c","AddressGrid","c:AddressGrid",1,0,,,,"Details about a specific geographic area of a law enforcement agency&apos;s jurisdiction.","c","AddressGridType","c:AddressGridType",,,
"c","AddressGridID","c:AddressGridID",1,0,,,,"A unique identifier of an address grid.","u","IDType","u:IDType",,,
"c","AddressGridText","c:AddressGridText",1,0,,,,"A relationship between an address and a law enforcement agency&apos;s grid.","u","TextType","u:TextType",,,
"scr","AddressID","scr:AddressID",1,0,,,,"An identifier that represents an ADDRESS.","u","IDType","u:IDType",,,
"c","AddressMailDeliveryUnitText","c:AddressMailDeliveryUnitText",1,0,,,,"A complete Post Office box number or other mail delivery point for a location, e.g., &quot;PO BOX 12345&quot;","u","TextType","u:TextType",,,
"c","AddressOther","c:AddressOther",1,0,,,,"An undefined address component to be labeled and tracked.","c","AddressComponentType","c:AddressComponentType",,,
"c","AddressPrivateMailboxText","c:AddressPrivateMailboxText",1,0,,,,"Identifies a private mailbox within a company. Sometimes referred to as a Mail stop Code.","u","TextType","u:TextType",,,
"gs","AddressProperty","gs:AddressProperty",1,0,,,,"Encapsulates or references an Address element. The Geography Markup Language (GML) specification uses property types and elements to encapsulate or reference GML class elements with identity.  This element allows NIEM Address elements to be referenced from GML conformant application schemas developed for use with NIEM.","gs","AddressPropertyType","gs:AddressPropertyType",,,
"c","AddressRecipientName","c:AddressRecipientName",1,0,,,,"A person, organization, or other recipient associated with an address to whom paper mail may be sent.","u","TextType","u:TextType",,,
"c","AddressRegionFullText","c:AddressRegionFullText",1,0,,,,"A single reference to a city, state, and postal code. This is customarily the third line in an address. ","u","TextType","u:TextType",,,
"c","AddressRouteName","c:AddressRouteName",1,0,,,,"The name and number of a postal route.","u","TextType","u:TextType",,,
"u","AdministrativeID","u:AdministrativeID",1,0,,,,"A unique identifier [generated locally within a processing system] used to identify sub-records within an entity of interest record.","u","IDType","u:IDType",,,
"im","AdmissionID","im:AdmissionID",1,0,,,,"A number indicating an alien students admission (I-94) number.","u","IDType","u:IDType",,,
"scr","AdmitDefaultDayQuantity","scr:AdmitDefaultDayQuantity",1,0,,,,"The quantity of days after the visa maximum day quantity that the subject is authorized to stay in the United States based on the CLASS OF ADMISSION.","u","QuantityType","u:QuantityType",,,
"scr","AdmitDurationStatusIndicator","scr:AdmitDurationStatusIndicator",1,0,,,,"An indicator indicating whether the admittance length for a person at ARRIVAL is based on Duration of Status.","niem-xsd","boolean","niem-xsd:boolean",,,
"scr","AdmitMaximumDayQuantity","scr:AdmitMaximumDayQuantity",1,0,,,,"A quantity of maximum number of days a specified in the CLASS OF ADMISSION TYPE.","u","QuantityType","u:QuantityType",,,
"scr","AdmitToDate","scr:AdmitToDate",1,0,,,,"The date , as specified at ARRIVAL, on which the alien is no longer authorized to stay in the United State.","u","DateType","u:DateType",,,
"scr","AdoptedChildAssociation","scr:AdoptedChildAssociation",1,0,,,,"An unmarried CHILD under 18 years of age taken voluntarily as a dependent by a person other than his/her biological parents.","scr","AdoptedChildAssociationType","scr:AdoptedChildAssociationType",,,
"scr","AdoptionCityName","scr:AdoptionCityName",1,0,,,,"The name of the city where the ADOPTED CHILD is adopted.","u","TextType","u:TextType",,,
"scr","AdoptionEffectiveDate","scr:AdoptionEffectiveDate",1,0,,,,"The date on which the adoption of the ADOPTED CHILD took place.","u","DateType","u:DateType",,,
"em","AdultGeneralServiceCoverageStatusCode","em:AdultGeneralServiceCoverageStatusCode",1,0,,,,"The availability of adult general services. ","have","AvailabilityStatusCodeType","have:AvailabilityStatusCodeType",,,
"c","AgeMeasure","c:AgeMeasure",1,0,,,,"A representation of an age.","u","AgeMeasureType","u:AgeMeasureType",,,
"u","AgeMeasure","u:AgeMeasure",1,0,,,,"An age.","u","AgeMeasureType","u:AgeMeasureType",,,
"c","Agency","c:Agency",1,0,,,,"An division of a governmental or international body.","c","OrganizationType","c:OrganizationType",,,
"j","AgencyActiveIndicator","j:AgencyActiveIndicator",1,0,,,,"True if the status of an ORI is active; false if it is inactive.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","AgencyAddCancelIndicator","j:AgencyAddCancelIndicator",1,0,,,,"True if an agency is authorized to add or cancel a record; false otherwise.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","AgencyAuthorization","j:AgencyAuthorization",1,1,,,,"",,,,,,
"j","AgencyAuthorizationCode","j:AgencyAuthorizationCode",1,0,,,,"A code identifying an agencys access category to data.","nlets","AgencyAuthorizationCodeType","nlets:AgencyAuthorizationCodeType","j","AgencyAuthorization","j:AgencyAuthorization"
"j","AgencyAuthorizationText","j:AgencyAuthorizationText",1,0,,,,"An agencys access category to data.","u","TextType","u:TextType","j","AgencyAuthorization","j:AgencyAuthorization"
"j","AgencyBaselinePriorityValue","j:AgencyBaselinePriorityValue",1,0,,,,"Values must be 0-12.","u","NumericType","u:NumericType",,,
"j","AgencyCHRIAuthorizedIndicator","j:AgencyCHRIAuthorizedIndicator",1,0,,,,"True if an agency is authorized to access criminal history information; false otherwise.","niem-xsd","boolean","niem-xsd:boolean",,,
"j","AgencyControlTerminalIndicator","j:AgencyControlTerminalIndicator",1,0,,,,"True if an agency is a control terminal; false otherwise.","niem-xsd","boolean","niem-xsd:boolean",,,
"intel","AgencyInterestCategory","intel:AgencyInterestCategory",1,0,,,,"Groupings of persons by the reason they are of interest to intelligence.","intel","AgencyInterestCategoryType","intel:AgencyInterestCategoryType",,,
"intel","AgencyInterestCategoryCodeText","intel:AgencyInterestCategoryCodeText",1,0,,,,"A code that identifies the reason that a group of people are of interest to intelligence.","u","TextType","u:TextType",,,
"intel","AgencyInterestCategoryDescriptionText","intel:AgencyInterestCategoryDescriptionText",1,0,,,,"A description of the reason that a group of people are of interest to intelligence.","u","TextType","u:TextType",,,
"intel","AgencyInterestCategoryText","intel:AgencyInterestCategoryText",1,0,,,,"A description that identifies the source of the code and/or description used to detail groups of people by the reason they are of interest to intelligence.","u","TextType","u:TextType",,,
"intel","AgencyInterestOtherCategory","intel:AgencyInterestOtherCategory",1,0,,,,"Details that describe an additional person-categorization system that groups of people by the reason they are of interest to intelligence.","intel","AgencyInterestOtherCategoryType","intel:AgencyInterestOtherCategoryType",,,
"intel","AgencyName","intel:AgencyName",1,0,,,,"A government organization that has specified an interest in this person, or has issued a warning or handling instructions regarding this person.","u","TextType","u:TextType",,,
"j","AgencyServiceHours","j:AgencyServiceHours",1,1,,,,"",,,,,,
"j","AgencyServiceHoursCode","j:AgencyServiceHoursCode",1,0,,,,"A code identifying the availability of an agency.","nlets","AgencyServiceHoursCodeType","nlets:AgencyServiceHoursCodeType","j","AgencyServiceHours","j:AgencyServiceHours"
"j","AgencyServiceHoursText","j:AgencyServiceHoursText",1,0,,,,"The availability of an agency.","u","TextType","u:TextType","j","AgencyServiceHours","j:AgencyServiceHours"
"intel","AgencySubjectHandling","intel:AgencySubjectHandling",1,0,,,,"Details about actions to take on contact with the person.","intel","AgencySubjectHandlingType","intel:AgencySubjectHandlingType",,,
"intel","AgencySubjectHandlingFBICodeText","intel:AgencySubjectHandlingFBICodeText",1,0,,,,"An FBI code that identifies the action for the designated agency to take on contact with the person.","u","TextType","u:TextType",,,
"intel","AgencySubjectInterest","intel:AgencySubjectInterest",1,0,,,,"Detailed description of why an agency placed the person in its repository or why the data on the person is being exchanged.","intel","AgencySubjectInterestType","intel:AgencySubjectInterestType",,,
"it","Agent","it:Agent",1,0,,,,"A party authorized to act on behalf of another party.","it","AgentType","it:AgentType",,,
"scr","AgentAssociation","scr:AgentAssociation",1,0,,,,"An association between a PERSON and a PERSON ROLE","scr","AgentAssociationType","scr:AgentAssociationType",,,
"it","AgentAugmentation","it:AgentAugmentation",1,0,,,,"An augmentation that applies to type nc:OrganizationType","it","AgentAugmentationType","it:AgentAugmentationType",,,
"scr","AgentPerson","scr:AgentPerson",1,0,,,,"An identifier that represents a PERSON.","scr","PersonType","scr:PersonType",,,
"scr","AgentPersonRole","scr:AgentPersonRole",1,0,,,,"An identifier that represents a PERSON ROLE.","scr","PersonRoleType","scr:PersonRoleType",,,
"it","AgentStatusText","it:AgentStatusText",1,0,,,,"The capacity in which the agent is acting.","u","TextType","u:TextType",,,
"u","ageUnitCode","u:ageUnitCode",0,0,,,,"A code that identifies the unit of measure of the age value.","u","AgeUnitCodeSimpleType","u:AgeUnitCodeSimpleType",,,
"c","Aircraft","c:Aircraft",1,0,,,,"Details about a mode of transportation capable of flying in the air.","c","AircraftType","c:AircraftType",,,
"c","AircraftAirportID","c:AircraftAirportID",1,0,,,,"An identifying number of an airport at which an aircraft lands or is kept. Sometimes referred to as an airport code.","u","IDType","u:IDType",,,
"c","AircraftAirportName","c:AircraftAirportName",1,0,,,,"A name of an airport at which an aircraft lands or is kept.","u","TextType","u:TextType",,,
"c","AircraftEngineQuantity","c:AircraftEngineQuantity",1,0,,,,"A number of engines on an aircraft.","niem-xsd","nonNegativeInteger","niem-xsd:nonNegativeInteger",,,
"c","AircraftFuselageColor","c:AircraftFuselageColor",1,1,,,,"",,,,,,
"c","AircraftFuselageColorCode","c:AircraftFuselageColorCode",1,0,,,,"A code identifying a color of a fuselage of an aircraft.","ncic","VCOCodeType","ncic:VCOCodeType","c","AircraftFuselageColor","c:AircraftFuselageColor"
"c","AircraftFuselageColorText","c:AircraftFuselageColorText",1,0,,,,"A color of a fuselage of an aircraft.","u","TextType","u:TextType","c","AircraftFuselageColor","c:AircraftFuselageColor"
"c","AircraftMakeCode","c:AircraftMakeCode",1,0,,,,"A code identifying a manufacturer of an aircraft.","ncic","VMACodeType","ncic:VMACodeType",,,
"c","AircraftModelCode","c:AircraftModelCode",1,0,,,,"A code identifying a specific design or type of vehicle made by a manufacturer.","ncic","VMOCodeType","ncic:VMOCodeType",,,
"c","AircraftStyleCode","c:AircraftStyleCode",1,0,,,,"A code identifying a style of a vehicle.","ncic","VSTCodeType","ncic:VSTCodeType",,,
"c","AircraftTailID","c:AircraftTailID",1,0,,,,"An identifier of an aircraft. Sometimes referred to as a tail number.","u","IDType","u:IDType",,,
"c","AircraftWingColor","c:AircraftWingColor",1,1,,,,"",,,,,,
